organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Positive Results _L&D HV02-12,MOH 731 Positive Results_ANC HV02-11,MOH 731 Positive Results_PNC<=6wks HV02-13,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26
xc5Gf81YH48,Bululwe Dispensary,25831,,,1,,1
aMTxgqDmizK,Bumala A Health Centre,15823,,,4,,14
nuEpF1eboYN,Bumala B Sub County Hospital,15824,,,1,,6
Gci6fQrejup,Bumula Sub County Hospital,15825,,1,1,,13
mSjyGBo4Rqu,Bumutiru Dispensary,15826,,,1,,2
OaksTvWzoaf,Bunde Health Centre,13518,Dispensary,,,,3
wXYxrsjOc8d,Bungasi Health Centre,15827,,,2,,6
WDJtmgLjGD8,Bungoma County Referral Hospital,15828,,,9,,70
goqUQl5fWIF,Bungoma West Medical Services,20323,,,,,3
ysygmWJdzuU,Bura District Hospital,13339,,,1,,
pnyCZ07HZhN,Bura Health Centre (Taita Taveta),11263,,,1,,4
yBe7688zcRt,Bura Mission Clinic,11265,,,,,5
SWfFxTZ0VGG,Bura Subcounty Hospital,11264,,,1,,2
d86OiRCX1px,Burguret Dispensary,10076,,,,,1
bmKQdaXNX9E,Burinda Dispensary,15830,,,1,,2
d23vOh36Pqw,Burumba Dispensary,21041,,,1,,2
vxKshylcIW5,Busagwa Dispensary,21037,,,,,1
ih3vU3AXadk,Busembe Dispensary,15831,,,1,,2
dI28kasf8Jj,Bushiri Health Centre,15833,health centre,,4,,10
XsRFIn0FhzA,Busia County Referral Hospital,15834,,,12,,68
KhOjFDcfVKc,Busia Trailer Park Clinic,18126,,,,,3
rd0gE7FLPsv,Busibwabo Health Centre,15835,,,1,,7
bpHMT3MOjaO,Bute Sub county Hospital,13314,,,,,2
OVV0fHS7fux,Butere Sub County Hospital,15836,,,4,,19
YejIqzsdjR2,Butiik Dispensary,14276,,,1,,1
Tns72Eh3EfT,Butingo Dispensary,20043,,,1,,2
yFrzItHccVH,Butula Mission Health Centre,15838,,,,,5
Nn4W2J9Csim,Buyangu Health Centre,15839,,,,,4
O9z0alrbAid,Buyemi Dispensary(Ikolomani),22544,,,1,,2
iuJyZVwqpbD,Buyingi Dispensary,29325,,,1,,1
qb3sIWTdr3V,Bwaliro Dispensary,15840,,,,,1
wd25QXppWr2,Bware Health Center,13519,,,1,,2
MtbnFaSdyBA,Bwayi Dispensary,19756,,,1,,2
A0Ln8q092qB,Bwiti Dispensary,17894,Dispensary,,,,1
Ch9QLIX4Lv4,Cana Family Life Clinic,12889,,,,,3
xGTmFl5kZ79,Capital Memorial Nursing Home (Kathonzweni),21888,Nursing Home,,,,1
g7eN5E9RN1V,Captain Dispensary,22541,,,,,1
lVg2rhGE5yL,Care Hospital,12865,,,,,1
GsgjuCbw1LE,Cargo Human Care Clinic,18006,,,1,,8
NzJeaH2EdPm,Cas Care Clinic,26608,,,,,1
o5gKwnxxShA,Cascade of Hope Health Care,25152,Along kagundo Road Chokaa Estae,,,,4
HOvK1bxRsNF,Catholic Hospital Wamba,15769,,,,,2
tvYS6hl4l6l,Cdc Ganjoni Dispensary,11273,,,2,,16
ErjXQGIV8nQ,Cedar Medical Clinic (Kimana),14281,,,,,3
pFvQUXCB8PC,Centre Medical Clinic,20154,,,,,2
R1GbvBvppCu,CFK Tabitha Maternity Home,26332,,1,1,,3
DrRI1gAgp5i,CFW Mwea Clinic,19841,Private Medical Clinic,,,,1
ZeHU0vtmrVW,Chaani Catholic Dispensary,23285,,,,,1
YoVeKFPle8w,Chalani Dispensary,16191,,,,,1
yz82FAm3ygB,Challa Dispensary,11278,,,,,2
pyG9z3VbFRG,Chamalo Medical Clinic,11845,,,,,2
RUBAdXhzucO,Chamuka Dispensary,18782,,,,,5
CckiDj0RzXx,Chandaria Health Centre,12893,,,1,,16
ZCo6FKCwUZq,Changara GK Health Centre,16421,,,1,,7
KoDV7MBGAgP,Chanzou Dispensary,23312,Along samburu silaloni road,,1,,1
oGBXTwGNwBb,Chasimba Health Centre,11282,,,,,2
Va4NxnOtD4e,Chebangang Health Centre,14289,,,3,,11
er2SyaJrrSG,Chebango Dispensary,14290,,,,,1
OZbL7oZvsP2,Chebewor Dispensary,14293,,,,,1
j0iEelzUyJn,Chebilat Dispensary,14295,,,1,,4
diQrdijS870,Chebirbelek Dispensary,14297,,,,,1
Qru9Hf4lWWT,Cheboin Dispensary,18236,,,1,,2
V66NbajJmrV,Cheboin Dispensary (Bomet),21297,Nearest to Cheboin Sec School.,,,1,1
aGrAKl9Waxs,Chebole dispensary,27122,,,1,,2
CPOeads0AI4,Cheborgei Health Centre,14300,,,2,,10
rfC2H5qMeuz,Chebukutumi Health Centre,22003,,,,,3
naqL6xOyGpS,Chebukwabi Dispensary,20159,,,,,1
E30aVzHdBRU,Chebunyo Dispensary,14304,,,2,,10
JTL8OVhlUqF,Chebwai Mission Dispensary,15849,,,1,,1
zu8KAkgSsmi,Chebwek Dispensary,30817,,,,,1
LJ5JNqUKr2k,Chegulo Dispensary,15850,,,,,2
OrqFPIo38Qk,Cheindoi Dispensary,14307,,,1,,3
Ci1bld843vy,Chekalini Health Centre,15851,,,1,,3
EueqDDu3dsP,Chelilis Dispensary,14309,,,1,,1
XSAZktTODe0,Chelymo Hospital,21289,Within Silibwet market,2,,,4
lbpglStu7o6,Chemaner Health Centre (Bomet),14311,,,1,,6
BRqSWipcO7v,Chemase Health Centre,14315,,,,,2
FPciMnyiq0d,Chemelil Dispensary,14318,,,,,1
vVYa9Lb6bZ5,Chemelil Health Centre (Muhoroni),13521,,,1,,3
PeEVPAKDbaC,Chemelil Sugar Health Centre,13522,,,,,1
vjbH3l4l2f3,Chemokonja Dispensary,17636,,,,,1
hqPkw34FUAM,Chemosot Health Centre,14323,,,3,,12
DBQxofmfEkm,Chemundu Dispensary,14324,,,3,,4
wUXWulTelXv,Chemuswo Dispensary,14326,,,,,2
jkmJn5wPZ9T,Chemwa Bridge Dispensary,18563,,,1,,7
w2kedceJwpf,Chepareria Sub County Hospital,14330,,,3,1,7
atDYGSWmahs,Chepchabas Health Centre,14331,,,,,6
ZXeCbiargkA,Chepchoina Dispensary,14332,,,1,,10
FkEyLhnpwOY,Chepilat Medical Centre,16869,,,,,1
BUA0kgHEKGL,Chepkemel Health Centre (Kericho),14338,,,,,1
qpHLI15nm2O,Chepkerer Dispensary,20740,,,,,2
