organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,MOH 731 Positive Results _L&D HV02-12,MOH 731 Positive Results_ANC HV02-11,MOH 731 Positive Results_PNC<=6wks HV02-13,MOH 731 Positive_Total (Sum HV01-18 to HV01-25) HV01-26
DgXP2ZhO0Hu,Ogilgei Dispensary,15385,,,,,1
JNXlOJYD4Z2,Ogongo Level 4 Hospital,13967,,,1,,3
Q5GF0n7TnBZ,Ogra Health Centre,13968,,,,,5
Oh2bAGRnSwV,Ogwedhi Health Centre,13969,situated in Suba East Division and its  a GOK Facility,,,1,10
vb0N9jbEVpU,Ojele Memorial Hospital,13970,Situated in Suba Central and a private clinic.,,,,1
xSUP8uKu35W,Ojola Sub County Hospital,13971,,,,,4
dL9MxYKbCvF,Ojunge Health Centre,21610,,,,,11
BPUDPYELno3,Okiki Amayo Health Centre,13972,,,1,,5
qvYYd1JpefV,Okitta Maternity Nursing Home,13973,,,,,2
Ma6T0CLHZnh,Okok Health Center,16259,,,1,,8
kWww1M8MQU0,Ol-Jorai Health Center,15406,,,,,2
FIDsgV3ezn0,Olasi Dispensary,13975,,,,,1
gYDBnsFssH6,Olasi Dispensary (Nyando),13976,Dispensary,,1,,1
ZqmBdrwI59g,Olborosat Dispensary,10911,,,,,1
DmdFbhqFUzY,Olbutyo Health Centre,15388,,,,,1
v9kycSh3X4O,Olchorro Health Centre,15389,,,,,4
cLBvS1WGEQF,Old Mawingu Health Centre,10912,,,,,5
sLYMLeCdZ1X,Oldanyati Health Centre,15390,,,,,3
LCV7Ou8Xbvf,Oldepesi Dispensary,15391,,,1,,
P4VHiC5CjkW,Olekasasi Health Centre,25184,,,2,,
qc3yUukscvt,Olenguruone Sub County Hospital,15398,,,2,,10
cg6jUmXgTbX,Olenkasurai Dispensary,16330,,,,1,2
zDxOF3Q1fxO,Olereko Dispensary,15400,,,,,2
vlAHtzaxWSK,Olive Link Health Care,18797,,,,1,1
nN3Po5pIV4t,Oljabet Health Centre,15404,,1,2,,3
IrJtQpI0UCR,OlKalou Bethel Medical Centre,27662,,,,,1
HPeCH3R6WMG,Olkinyei Dispensary,15408,,,,,2
n4rUR8alV2I,Olkoroi Dispensary,15411,,,,,1
bd7VXFscNDg,Oll Mwea Hospital Clinic Embu (Satelite),12696,,,,,1
TUKypl7EKXu,Ollessos Holy Family Dispensary,15412,,,,,1
QaCEAVVfwZE,Olmekenyu Health Centre,15414,,,1,,10
pKLzABXE2Ot,Olmoran Catholic Dispensary,15416,,,,,1
dxZgFuOryf4,Olmoran Health Centre,15417,,,1,1,3
IzqxKib8pat,Olng'oswet dispensary,28897,,,,,2
lwBNLMC04u2,Oloika Dispensary,15418,,,,,3
rRqKxDRl7GI,Olokurto Health Centre,15420,,,,,1
UpqwMSA3jt5,Ololchani Dispensary,16690,,,,,1
MoS8AlZruj3,Ololoita Medical clinic,24637,,,,,3
oiAvsFTAUta,Ololua Dispensary,17799,,1,,,11
xGTMrXGuKGB,Ololulunga Sub County Hospital,15423,,,3,,13
lH3dsW7xCJA,Oloropil Dispensary,17552,,,,,2
pdQ31G6WPpz,Olorte Dispensary,15428,,,,,3
QQR2VgVFaLX,Olosho-Oibor Dispensary,15429,,,1,,1
MWyN3Yj2cNo,Olposimoru Dispensary,15431,,,,,3
a6ZP7RjG0JA,Olps Clinic,13977,,,,,14
T8zNY6153DF,Oltepesi Health Centre,15434,,,1,,7
fC39oEywEQk,Ombek Health Centre,13978,,,,,1
Z5pVNJJr6WL,Ombo Bita Dispensary,17607,,,1,,4
Z7YsTxQ74kV,Ombo Kachieng' Health Center,13979,,,,,4
OWLIOQ1qkOt,Omboga Health Centre,13980,,,3,,5
OknIUoLRrZa,Omobera Dispensary,13982,,,2,,2
XTfgwU7DuII,Omogwa Dispensary,13984,,,,,3
rityjjM643W,Omosaria Dispensary,13986,,,,,1
St6XkFDXe8w,Omulo Dispensary,24867,,,,,1
p6QLmTAlmyU,Onding Dispensary,17515,,,1,,2
Uvv85m35TMs,Ondong Dispensary,16277,situated in Suba East Division and its  a GOK Facility,,3,,5
ttfohow6fXP,Oneno Health Centre,16985,,,,,1
sGJFe2O78NO,Ong'amo Health Centre,18892,,,,,1
RW8fKrzu1Ka,Ong'ielo Model Health Centre,13987,,,,,8
nTGZm5lNyzY,Ongata Rongai Sub County Hospital,15440,,,6,,44
pS72TtLnCvM,Ongito Dispensary,13988,,,,,1
ImG6wgclN06,Ongo Sub County Hospital,13989,,,1,,6
salniVCl5mw,Ontulili Health Centre,12700,,,,,1
bDWpyLyczKC,Onyinjo Dispensary,17173,,,,1,2
OlwzlLibvzd,Onyuongo Dispensary,20209,Dispensary,,1,,5
zeG49V2oKJ1,Opapla Health Centre,13990,,,1,,1
tP9Wb2hdTP6,Orego Health Centre,21163,Rodi Rangwe Road,,1,,1
IgabCFGuay6,Oren Health Centre,18800,Health Centre,,,,1
mC9U2woN9J3,Oresi Sub County Hospital,13991,,,4,,28
Abx1zrqutJ6,Oriang (SDA) Health Centre,16284,,,,,1
IDjYKFT9aaF,Oriang Kanyadwera Dispensary,18422,,,,,3
WdXqR4s4oYz,Oridi Health Center,16767,,,1,,2
fjQDkluQIse,Oroche Dispensary,13992,,,1,,2
XhcSianZox8,Orolwo Dispensary,16370,,,,,1
Aa4MetEuYbi,Orongo Dispensary,21047,,,,,6
sV3U6vesQah,Ortum Mission Hospital,15446,,1,,,4
KXf2i46ZUZr,Oruba Dispensary,22093,,,3,,10
cZQlPWrhosA,Oruba Nursing and Maternity Home,13993,,,1,,1
grOgz9Y2EUz,Orwaki Dispensary,13994,,,,,1
Nfr9uJ4GkCc,Osarai Dispensary,21904,,,,,1
inB3jgbNJ8W,Oserian Health Centre,15447,,,,,3
y1WqAJwDmmi,Osewre Dispensary,20069,,,,,1
LWoO0Z47tGZ,Osieko Dispensary,17680,,,1,,7
G4FemD36hGF,Osingo Dispensary,13996,situated in Suba East Division and its  a GOK Facility,,2,,4
nNxsnNursRY,Otacho Dispensary,13998,,,1,,2
K7MbyOwY6BH,Otange Health Center,18877,,,1,,8
vbTXwTtyO3p,Otaro Health Centre,22303,OFF NYALKINYI- IMBO ROAD,,,,1
V6P9Brv9LmO,Otati Dispensary,13999,,,,,1
AoO1uzcsLs0,Othaya Sub County Hospital,10922,,,,,12
hpkiX97MN3B,Othoch Rakuom Dispensary,14001,,,,,4
eogI9KAaTj9,Othoro Level 4 Hospital (Rachuonyo),14002,,,1,,15
HIbQsMgPQm0,Othoro Sub County Hospital,14003,,,1,,5
Ln42hVA1Qpk,Otieno Owala Health Centre,20024,,,,,3
tEu5VkVwaK7,Our Lady of Lourdes Mutomo Hospital,12604,,,,,10
lna5hD9un4O,Our Lady of Lourdes Mwea Hospital,10808,,,2,,6
SEvEw5XSNVr,Our Lady Of Mercy Mission Hospital,22859,CDN plaza,1,1,,12
tZYpN3x4Zwn,Our Lady of Peace Mission Hospital Chebukaka,15848,,,2,,2
SuTFIa79qA7,Outspan Hospital,10924,Along Nyeri Kamakwa Road opposite Nyeri hospice,,1,,4
NpyEzrr5WTf,Outspan Hospital-Embu Medical Clinic,21702,Located along Sin Partel road,,,,1
xHrYMm0ZsQu,Ouya Dispensary,14005,IN NYANGOMA DIVISION,,1,,4
CDCeYZgAB3g,Oyamo Dispensary,14007,ISLAND IN NYANGOMA DIVISION,,1,,1
WV0WSrN5Wki,Oyani (SDA) Dispensary,14008,,,,,2
EVf9vo84kFZ,Oyani Sub County Hospital,14009,,,2,,12
meNIeT7e5bF,Oyugis Westgate Health Centre,30643,,,,,2
PNrZ6dCwfLs,Oyuma Health Centre (Rachuonyo),17852,,,,,1
EE3DZxHdMMN,Pacific Medical Clinic,18318,,,,,1
JXe9XqOiUzX,Padens Medicare Centre,13137,,,,,3
Gxv8X40sZrs,Paga Health Centre,29385,,,,,3
qJwEgqDnkAC,Pala Level 4 Hospital,14011,,,,,16
kuBecESrd0Y,Pala Masogo Health Centre,19859,,,,1,6
qgE64yhjxkr,Palakumi Dispensary,11730,,,,,2
iBuAKaM0WO2,Pand Pieri Community Dispensary,14012,,,,,21
f61RWaRWCfA,Pandya Memorial Hospital,11734,,,,,2
dwWrJGEreMc,Pangani Dispensary,13138,Dispensary,,1,,3
ybNHUZ8G4xz,Pap Kodero Health Centre,14013,,,3,,8
W0VNU5vWSv9,Partners In Prevention,16749,,,,,3
GNwx6r3BZ8O,Pastor Machage Memorial Hospital,14014,Situated in Suba Central and a private Hospital.,,,,4
udyfhz4XKDn,Patanisho Maternity and Nursing Home,12977,,,,,4
XgnBT8Pug4r,PCEA Chogoria Hospital,11970,,,3,,20
xmNbryAVmgb,Pefa Mercy Mission Medical Centre,25742,,,,,1
aSJOD9ZkU6k,Pemba Dispensary,20492,Just about 500metres next to Pemba Primary school and about 2km away East from the junction of the Kinango-Mariakani Road which is about 4 km from Matumbi dispensary to the junction,,,,1
PUfsz7GM378,Pemba Medicare Kangeta,23000,outpatient clinic,,,,2
d5EpOhR7z9Z,Penda Medical Care (Kahawa West),22946,Situated at Kahawa West Estate-off Kamiti Road,,,,57
P6DsGpbNws0,Penda Medical Centre (Kasarani),28660,,,,,3
EaE8TMr1U0Q,Penda Medical Centre (Sunton),26103,,,,,1
c6HYkOftQuG,Penda Medical Centre (Umoja 2),20449,,,,,2
fak7ZCrvwoh,Penda Medical Centre (Zimmerman),23983,Private,,,,2
on3DHdDBJpz,Penda Medical Centre - Lucky Summer,25721,,,,,4
JogZwUgVZwB,Penda Medical Centre Kimathi Street,27643,,,,,2
Z08KIZqMqp7,Pendo Medical Clinic,18496,private clinic,,,,3
zqNKCbQy3AJ,Perani clinic,17928,,,,,2
W1m2m2wBm4u,Pesi Dispensary (Laikipia West),15461,,,,,1
GXjd4TP2jdN,Phadam Hospital Nasra,24014,,,,,7
sRqHTCpUlDU,Pharmlex Medical Centre Limited,30786,,,,,1
NXAxSdZh6MD,PHDA SWOP Majengo clinic,28742,,,,,8
z3nMgma1Kt1,Piny Owacho Dispensary,17343,,,,,1
apKYnsMHEmX,Pipeline Nursing Home,12978,,,,,5
bSUG0xsBKIT,Plainsview Nursing Home LTD,10940,,1,1,,
HphzGAoeGVF,Polyclinic Hospital,15466,,,,,3
PtapijBoEPe,Ponge Health Center,14015,,,,,1
WcObK0U8pXU,Ponge Health Centre (Suba North),14016,,,1,,3
I1uyMohbaUS,Pongwe/Kidimu Dispensary,23132,,,2,,4
K5KcjBbwjTM,Poplar Hospital Limited,27624,,,,,2
pOzVvOXQ6TL,Port Florence Hospital,14017,,1,2,,8
K6JHRvs7bAu,Port Reitz Sub County Hospital,11740,,,6,,27
vqZ76KANEWN,Port Victoria Hospital,16091,,,2,,22
dofeI800FAf,Posland Medical Clinic,16629,,,,,1
GfVcriw6yYC,Posta Lanet Medical Clinic,22089,,,,,1
cVFUPAB2b6Z,Powys Dispensary,22950,Dispensary,,1,,1
NC3bbY0H8cf,Premier Hospital Limited,24022,,,,,2
aLiqrCG2HPu,Prima Medical Centre,20748,,,,,6
FyjYtKZUM2s,Prison Dispensary,15470,,,,,5
FfnqqOtotLU,Pro Care Cottage Hospital,29800,,,,,4
vABAcSfj7Zf,Prudent Medical Clinic (Kariobangi),18001,,,,,1
LSjjW2Uph1L,Pstc Health Centre,13153,,,,,1
qNJkz8G7pfV,Pumwani Majengo Dispensary,13155,,,1,,25
DAfqnwB2Uhh,Pumwani Maternity Hospital,13156,,8,2,1,25
I5kN11SF0bn,Pwani Dispensary,16092,,,1,,1
o2hO5MIaKmL,Qatar Medical Clinic,20587,Private Medical Clinic,,,,1
gP7mdosVgYI,Qeyraat Medical Centre Limited,30184,,,,,1
piVDFZcAwUn,Quality Modern Hospital,23228,,,,,2
R2VAdNmCAUr,Queens & Kings Health Centre,19906,,,,,1
zHZTgzElDum,Queens and Kings Accurate Health Centre,24433,,,,,3
n9DOxUYIVjx,R4C Kenya Medical Services,20526,Clinic,,,,1
eMMojDvhND0,Rabai Sub County Hospital,11748,,,1,,10
bejbJuEmJLP,Rabar Health Centre,14018,,,,,5
aCOEeeYEcsO,Rabondo Dispensary,14019,,,1,,5
xHpOSfsb09z,Rabuor Sub County Hospital,14020,Hospital,,2,,12
ScldhU4lX2D,Rachar Health Centre,24820,,1,,,1
ieD6w3xqG0G,Rachar Sugar Belt Hospital,14021,,,1,,5
Psa3nl6S4SK,Rachuonyo County Hospital,14022,,1,12,,85
t68YwvegZ4I,Rachuonyo East Sub County Hospital,13638,,1,2,1,12
Ljg0MU1e0bY,Radiant Group of Hospitals (Umoja),22976,ALONG MOI DRIVE,,,,1
ICsoiQdDS5P,Radiant Pangani Hospital,13158,,,1,,2
szk9vzhrYeY,Radienya Dispensary,18722,Near Radienya primary school,,,,1
AqD7UCCUGCh,Rae Dispensary,14024,,,,,11
ILrXVyvqFwX,Raganga Health Centre,14025,,,,,6
mRPHsiYtXeO,Rageng'ni Dispensary,14026,,,,,3
mbaB7dMts46,Ragwe Health Centre,18530,Dispensary,,,,1
uNfRv08L7NJ,Railways Dispensary (Kisumu),14027,,,1,,18
iM48NtgCfPO,Railways Dispensary (Mombasa),18211,,,1,,4
bcpvWHcLcnw,Rakwaro Health Centre,21482,a dispensary located near miriu health facility,,,,4
JRzEwsiGNOs,Ram Hospital,14028,,,,,1
e3fP7HNneS5,Ramasha Health Centre,14029,,,,,1
w6gmsyy7sL6,Rambugu Dispensary (Rarieda),17437,,,1,,3
vyIRQtMwS3K,Rambula Dispensary,16789,,,2,,4
I12ueCqFUQG,Ramula Health Centre,14030,,,2,,10
tKxiY0VjNrr,Randago Dispensary,17521,,,1,,5
yLorzTZpbmc,Randung' Health Centre,14031,,,,1,4
I2z6MT7pHrX,Ranen (SDA) Dispensary,14032,,,,,7
jueZSKNE0jw,Ranen Ochuna Medical Centre,23975,,,,,11
iI1UYjIuEa1,Rang'ul Dispensary,21039,,,11,,1
ytVjSxVQbQ2,Rangala Health Centre,14033,,,,,7
qoY3GWB320k,Rangwe (SDA) Dispensary,14035,,,1,,4
o8qbdITAWcU,Rangwe Sub-County Hospital,14036,,,5,,17
wtXXHTCB89Y,Ranje Dispensary,20483,,,2,,9
RpoDr08py8E,Rapcom Nursing and Maternity Home,14037,,,,,3
CHWDHwHN1da,Rariw Health Centre,14038,,,,,5
PyZLFJ4lYf1,Raruowa Health Centre,14039,,,1,,3
aTQwZSIIxPA,Ratta Health Centre,14040,,,2,,5
upkXXpAU2Ua,Rau Dispensary,19731,,,,,2
GYeXCtw2Jji,Ray of Hope Health Centre,13159,,,,,1
o3BEH7zeg8y,Reach-out Centre Trust,,,,,,1
wE5btrusNNc,Reachout Center Medical Clinic,17620,Medical Clinic,,,,4
jC5xoC8BnPT,Regaol Barnabas Medical Centre,14102,,,2,2,9
A9EmK1ExZyT,Reinha Rosary Medical Clinic,18668,,,,,5
UZUsQXKij1U,Rekeke Model Health Centre,17114,,,,,2
rsvp3dkcgmQ,Remba Health Centre,17593,,,,,2
IKiQjyUJC4N,Remi Medical Clinic,16696,,,,,1
p6Sle8EB5TO,Rera Health Centre,14042,,,,,5
OzMYgsrBB3L,Reuben Health Centre,13173,,,3,,13
rGWn3eyPXeY,Reuben Health Centre (GOK),28432,,,2,,12
uLDWBYdfe6s,Reusse Troyer Health Centre,14043,situated in Suba East Division and its  a FBO,,,,2
gGN0ERUmMHV,Revival Home Based Care Clinic,16168,,,,,2
GvCnYSMHSif,RFH Healthcare -Syokimau,30147,,,,,1
fu30kCMEUYr,Rhamudimtu Health Centre,13424,,,,,72
KT4sSoTeXAm,Rhodes Chest Clinic,13163,Clinic,,,,15
XIIEtZGP1iY,Rhonda Health centre,20137,,,1,,3
rqepZRfHCug,Riakanau Dispensary,12712,,,,,1
te66tg4yn7z,Riakinaro Health Centre,16981,,,1,,3
PduUv9FH59L,Riana Health Centre,14045,,,,,1
RuEWpmWUmCM,Riat Dispensary,14046,,,1,,3
g8H5Hr3A1QX,Riat Dispensary (Migori),14047,,,,,3
YiIhC0XhFIq,Riechieri Health Centre,14048,,,,,4
Fth3AJnMdn9,Rigoko Dispensary,14050,,,1,,
QXgTPS1Ym77,Rigoma Dispensary,14051,,,1,,3
o7G7J1SsSBU,Rimaal Prime Community Hospital,23595,in Kithimani Market,,,,2
oHVZgP5CtBu,Rimoi Dispensary,15485,,,,,1
WScaErkCUsB,Ringa Health Centre,23432,,,1,,7
ueSbUJtjGM9,Ringiti Health Centre,17710,,,1,,5
Ot3j6QXURjV,Riokindo Health Centre,14052,,,,,4
ufLq017DMUR,Riosoti Dispensary,28580,,,,,1
ZyVu64QtPyq,Riotanchi Health Centre,14054,,,,1,3
aEdFARk1Zsm,Rironi Health Centre,17248,,,,,1
GOxptySBE5j,Riruta Hospital,13165,,,5,,46
Gl0xhiCjGFq,River Jordan Medical Centre,22279,,,,,1
wcmdqlpN02O,Roadblock Clinic,14056,,,,,1
UqRSRuTq2mg,Robins Health Care Clinic,18936,Located in Maua town opposite KCB,,,,8
xOk8BwV5Uta,Rodi Health Centre,14057,,,4,,3
Bq9L3QREUFy,Roka Maweni Dispensary,11758,,,1,,1
ozwn11j2cO0,Roka Medical Clinic (Chumani),11288,,,,,3
EumBiY0A93D,Rombo Health Centre,15490,,,,1,12
bUMTrfQofWS,Romosha Health Centre,15491,,,1,,2
IZ78jKxuNvk,Rongai Health Centre,15495,,,1,,6
SVMdwwTOZoL,Rongena Dispensary,15497,,,,,1
KV7mZo1P75i,Rongo Sub County Hospital,14058,,,6,,39
t5ezj03HWYj,Roret Sub County Hospital,15498,,1,2,,9
E5fkFJ09xpE,Rota Health Centre,14060,,,,,9
oImJcc9hpHu,Round About Medical Dispensary,13167,,,,,6
G2SApeuVqIS,Royal Medical Hospital and Maternity Home Limited,14061,,,1,,6
Pwi6zyxe34a,Royal St Peters Health Care,11759,,,,,1
tT9PZT85P89,Royalstar Family Hospital,25386,,,,,49
QtLL3zPlb1l,RTC Medical Centre,21648,,,,,1
MEh9RhjHr40,Ruai (EDARP) Clinic,13169,,,1,,6
SWOddUtlQiU,Ruai Family Hospital - Tala,22753,Situated along Kangundo Road next to Matungulu CDF office at Tala Market,,1,,2
cJLtabretOv,Ruai Family Hospital Limited,18390,,,,,1
tdskla3Fuag,Ruai Health Centre,13171,,,1,,18
fNVYEyxjawL,Ruaraka Dispensary,13172,,,,,5
pk6P7fleFU8,Ruaraka Uhai Neema Hospital,18485,,1,,,9
xziIZlvxiIS,Ruguru Health Centre,18013,,,1,,2
uKVTIuOA70O,Ruiri Catholic Health Centre,12716,,,,,4
slK5XGC5Nzx,Ruiru GK Prison Dispensary,10288,,,,,3
cTauyQlmmPy,Ruiru Hospital Limited,10974,,,,,1
d62fP00Szyv,Ruiru Sub-County Hospital,10973,,2,4,,44
KK9ISvjjUvP,Rukala Model Health Centre,16095,,,,,4
IzazwT0OMF8,Rukira Dispensary,12718,,,,,1
JXcyxGXlL9O,Rumbiye Dispensary,16096,,,,,1
OSC2ngoYEYM,Rumuruti District Hospital,15502,,,2,,9
f8GXUUOSkR6,Runyenjes Sub County Hospital,12719,,,1,,11
gComlbUf3gB,Rusinga Dispensary,14062,,,1,,4
gWGorl4dyrC,Rusinga Island of Hope Humanist Health Centre,17594,,,,,3
bXn7IY2ZYMz,Rwambwa Sub-county Hospital,14063,,,2,,5
GCv9teCuS8H,Rwika Dispensary,12722,,,1,,1
EqOqZ31xi3Y,Sabaki Dispensary,11761,,,1,,3
OKBBkzppdal,Sabasaba Health Centre,10987,,,,,5
m6zhE2pzHWO,Sabatia Sub County Hospital,16098,,,3,,13
ikKNYc51MsI,Saboti Sub County Hospital,15508,,,1,1,7
xLMd3GYGg3G,Sacha Health Centre,16099,,,,,1
bEj9l0dUUQD,Sachangwan Health Centre,15509,,,1,,7
q9xXncCEGRK,Sacred Heart Dispensary,10988,,,1,,16
pHGYh1pC2x6,Sacred Heart Dispensary (Nzaikoni),16252,,,,,1
cPU7gAlPGs7,Sagam Community Hospital,14064,,,,,9
sm3tsYY05ZR,Sagana Sub County Hospital,10994,,,2,,7
FS1fWvqY7vF,Saifee Foundation Medical  Centre,26444,,,,,1
YqrbdGAX6VZ,Saika Nursing Home,18386,,,,,6
f6ZId6HbVYD,Saikeri Dispensary,15513,,,,,1
gcHhb3D3ViM,Saint Gabriel Hospital And Wellness Centre,22153,situated at litein centre,,,,2
TDU6t8gEJgE,Sakali Dispensary,19960,,,,,1
QzrOkDcrwYG,Salama Dawa Health Services,12725,near mutuati market,,1,,4
YpP6lxmMLxh,Salama Health Centre (Laikipia West),15520,,,1,,1
cqx1Wknhos7,Samaritan Medical Services (Dandora),13176,,,,,2
GRZc4EZ9PuV,Samburu Sub County Hospital,11768,,1,,1,10
icC6xh7rhxt,Samjomen Hospital,21427,,,,,1
k1Xa3QbdWWB,Samora Medical Centre,14065,,,,,1
l6kkdVt5DnN,Samoya Dispensary,28733,,,,,2
MyAeZ7c1vVN,Sang'alo Dispensary,15529,,,,,3
IwDcBQwgbEg,Sango Dispensary,16100,,,1,,6
taNmXyxY87R,Sango Rota Health Centre,14066,,,,,3
IPxEUFKO2Kj,Sangoro Dispensary,22218,,,,,2
hjCLVkTcW36,Sankale Clarence Health Centre,24670,Located near sankale market,,,1,3
QFvQazQx4Lf,Santa Maria Medical Clinic,11770,,,,,2
J5xsJNWwhDK,Santamore Specialized Surgical Hospital,27389,,,,,2
lOuSf3QZaCQ,SAPTA Kayole,24251,,,,,1
AaJSjh8l4DS,SAPTA Trust(Githurai),23467,,,,,1
uWKMOuX8Su5,Saptet Dispensary,24142,,,2,,2
VqXehjCiW9C,Saradidi Dispensary,14068,,,,,2
NpKmhJBECVb,Saro Dispensary,14069,Situated in Suba West division and its a GOK Facility,,5,1,14
epnyykVC3sO,Saruchat Dispensary,15532,,,1,,1
iCZTk27AHph,Sau Health Services,11771,,,,,2
vhGugNZUV3w,Savane Dispensary,16101,,,,,4
LE41inNgUSw,Savani Medical Centre,20904,,,,,15
XBVHcByduVe,Sayyida Fatimah Hospital,11774,,,,,5
eFXM0R5IBB4,Seaside Nursing Home,17630,,,,,1
rCsMLOs0Hw2,Sebit Health Centre (Pokot South),24843,,,,,2
hCgJ2VDChra,Seed of Hope Dispensary,15536,,,,,2
Q1YHVG2A0U1,Sega Dispensary,14072,,,3,,8
ntP34s4jDH5,Sega Mission Hospital,14073,,,2,,16
EwpG2Q4y05m,Segere Dispensary,16790,,,,,3
cTUAph4vjQ9,Seguton Dispensary,21600,,,2,,4
Bn0sl3vh0qj,Seka Health Centre,14074,,,,,2
XzlKeCEvztb,Sekenani Health Centre,15541,,,2,,5
MEn5F2lVDln,Seketet Health Centre,15543,,,,,1
tnPObrjA9RC,Sena Level 4 Hospital,14075,,,,,3
Wm51OW03KAk,Sengani Health centre,16440,,,1,,10
TvQQht1n3MH,Serawongo Dispensary,14077,IN NYANGOMA DIVISION,,,,7
jKpBTVgbASi,Sere Dispensary,22380,,,,,2
oIfTa0e3Og0,Serem Health Centre,16103,,,1,,9
mcSGhLvIobz,Serem Health Centre (Aldai),15545,,,,,1
FNrfDS1QYuR,Seretut Dispensary,15550,,,,,1
lqmlibO6CSJ,Sergoit Health Centre (Keiyo),15554,,,1,,1
MIJ54qWI6ky,Sex Workers Operation Project (Swop),13180,Dispensary,,,,17
Tc8v3FlMk4Y,Sex Workers Outreach Program (Langata),18176,,,,,2
IACiWXTyVDR,Shakahola Dispensary,23118,,,1,,1
amRQYjheywd,Shalom Community Hospital,12730,,,,,3
Zo2nZIsclv5,Shalom Community Hospital (Athi River),17979,In Athiriver ward,,,,2
lr77VokwIqJ,Shalom Reru Medical Clinic,20028,Clinic,,,,1
BRIBehwYmcd,Shamakhubu Health Centre,16104,,,,,3
dU7dDBWWWDi,Shamata Health Centre,11004,,,,,9
UNbhlHZjMF2,Shamberere Health Centre,16105,,,1,2,8
vuTWdCN7s7K,Shangia Dispensary,16189,,,1,,2
JHtWkencTZI,Shartuka Dispensary,17324,,,,,1
FX5DGY6VxPS,Shauri Dispensary,17374,,,1,,1
q6kf6cxfaRK,Shauri Moyo Clinic,13184,,,1,1,6
xJNc5BIOMtT,Shekina Glory Community Nursing Home,23865,,,,,1
d7xdgRnT1pE,Shianda Dispensary,20194,,,2,1,9
PuVGCzBiYAp,Shibanze Dispensary,16123,,,1,,1
y1jWd1Ug7ts,Shibwe Sub-County Hospital,16107,,,6,,18
IDtVLOWs5dB,Shihalia Dispensary,16108,,,1,,1
HRweTMDGBxV,Shihome Dispensary,16109,,,2,,8
HqFDy2vEQz6,Shika Adabu (MCM) Dispensary,11785,,,,1,4
CCGSlHN72uS,Shikamoo Medical Clinic,11007,,,,,2
W1JxUhwofMg,Shikokho Dispensary,16110,,,,,1
r7Lt1WaGvWx,Shikumu Dispensary,16483,,,1,,2
VymFeOiKKGv,Shikunga Health Centre,16111,,,2,,3
nNM3ZA9ErqU,Shikusa Health Centre,16112,,,,,7
zsswqbRZEzQ,Shikusi Dispensary,16113,,,1,,4
erZvaDeCoQ3,Shimba Hills Health Centre,11787,,,,,8
lvOFSMPRerh,Shimo Borstal Dispensary,11397,,,1,,
xFwky80rnjq,Shimo La Tewa Annex GK Prison Dispensary,11393,,1,1,,11
gvaEWrl758j,Shimo-La Tewa Health Centre (GK Prison),11395,,,2,,29
xOIShowo1zr,Shimoni Dispensary,11789,,,,,6
el6wJ3PIq0h,Shining Hope for Communities Mathare Medical Clinic,,Medical center,,,,7
kbg8aYUzgUM,Shinyalu Model Health Centre,17596,,,1,1,10
agO9AbQPxH4,Shiraha Health Centre,16116,,,,,1
rcURuJEZKkV,Shirakalu Dispensary,22973,,,1,1,5
r5b82A5eqiv,Shiraz Dispensary,22050,,,,,2
cF9orSjuiaV,Shirikisho Health Centre,14078,,,,,12
HBsqa81tb5L,Shiru Health Centre,16117,,,5,,15
zbFGKpgLMlF,Shirumba Dispensary,22759,,,,,1
fB3xG06tgRu,Shisaba Dispensary,16118,,,,,3
KzjIbQebF4W,Shiseso Health Centre,16119,,,2,,4
DN1DpNnTw3q,Shitsitswi Health Centre,16121,,,,,2
n8mZDQDs2q5,Shivakala Dispensary,21043,,,,,1
c6oal13vwWU,Shivanga Health Centre,16122,,,,,2
oOwuBKanE6i,Shiyunzu Dispensary,22979,,,1,,1
DSJhEhYowts,SHOFCO Makina Clinic,31551,,,,,2
SQ7NgzUYOjt,SHOFCO Medical Clinic (Kibera),17650,,,1,,3
hk7CLAgs5Hy,Shompole Health Centre,15560,,,1,,5
X6eQyywhuHF,Siala Kaduol,18426,,,,,2
b3yukBxVi1J,Siaya County Referral Hospital,14080,"In Siaya Town, along Siaya Ugunja road",,2,,17
lVnCyawh28t,Siboti Model Health Centre,16124,,,1,,3
MxwFljO9mmy,Sibuoche Dispensary,14082,,,,,5
KLImcutNBb1,Sieka Health Centre,14083,,,,,3
UDjLzocKru9,Sifuyo Health centre,14084,,,2,,5
z4pEZ9GMUj7,Sigomere Sub County Hospital,14085,,,3,2,17
bR2L8EXIGC1,Sigor Sub-District Hospital,15565,,,1,,9
eH1iSu1tL6t,Sigoti Health Centre,14086,,,1,1,13
YLsrbfNIQuI,Sigowet Sub County Hospital,15568,,2,2,1,20
gDvwJK9NSff,Siha Njema Hospital,30050,,,,,1
BvSVueanUP2,Sikalame Health Centre,14087,,,,,6
fGgr17UV6Q6,Sikarira Health Centre,16485,,,2,,8
uPOfHwYBhYc,Sikh Hospital,12734,,,,,3
H9dAKNepix7,Sikhendu Dispensary,20162,,,2,,4
GtT8lu2bSgC,Sikhendu Medical Centre,15569,,,1,,2
xPwNgDMeWR9,Sikulu Health Centre,16125,,,,,3
OjOnxCLQ1lM,Sikusi Dispensary,18145,,,1,,2
Q0oTmpiCXFG,Silaloni Dispensary,11794,,,,,1
